@relation combi
@attribute Id numeric
@attribute Alley {'None','Pave','Grvl'}
@attribute BedroomAbvGr numeric
@attribute BldgType string
@attribute BsmtCond {'None','Po','Fa','TA','Gd','Ex'}
@attribute BsmtExposure {'None','No','Mn','Av','Gd'}
@attribute BsmtFinSF1 numeric
@attribute BsmtFinSF2 numeric
@attribute BsmtFinType1 {'None','Unf','LwQ','Rec','BLQ','ALQ','GLQ'}
@attribute BsmtFinType2 {'None','Unf','LwQ','Rec','BLQ','ALQ','GLQ'}
@attribute BsmtFullBath numeric
@attribute BsmtHalfBath numeric
@attribute BsmtQual {'None','Po','Fa','TA','Gd','Ex'}
@attribute BsmtUnfSF numeric
@attribute CentralAir {'N','Y'}
@attribute Condition1 string
@attribute Condition2 string
@attribute Electrical string
@attribute EnclosedPorch numeric
@attribute ExterCond {'Po','Fa','TA','Gd','Ex'}
@attribute Exterior1st string
@attribute Exterior2nd string
@attribute ExterQual {'Po','Fa','TA','Gd','Ex'}
@attribute Fence {'None','MnWw','GdWo','MnPrv','GdPrv'}
@attribute FireplaceQu {'None','Po','Fa','TA','Gd','Ex'}
@attribute Fireplaces numeric
@attribute Foundation string
@attribute FullBath numeric
@attribute Functional {'Sal','Sev','Maj2','Maj1','Mod','Min2','Min1','Typ'}
@attribute GarageArea numeric
@attribute GarageCars numeric
@attribute GarageCond {'None','Po','Fa','TA','Gd','Ex'}
@attribute GarageFinish {'None','Unf','RFn','Fin'}
@attribute GarageQual {'None','Po','Fa','TA','Gd','Ex'}
@attribute GarageType string
@attribute GarageYrBlt numeric
@attribute GrLivArea numeric
@attribute HalfBath numeric
@attribute Heating string
@attribute HeatingQC {'Po','Fa','TA','Gd','Ex'}
@attribute HouseStyle string
@attribute KitchenAbvGr numeric
@attribute KitchenQual {'Po','Fa','TA','Gd','Ex'}
@attribute LandSlope {'Sev','Mod','Gtl'}
@attribute LotArea numeric
@attribute LotConfig string
@attribute LotFrontage numeric
@attribute LotShape {'IR3','IR2','IR1','Reg'}
@attribute LowQualFinSF numeric
@attribute MasVnrArea numeric
@attribute MasVnrType string
@attribute MiscFeature string
@attribute MiscVal numeric
@attribute MoSold {'1','2','3','4','5','6','7','8','9','10','11','12'}
@attribute MSSubClass {'20','30','40','45','50','60','70','75','80','85','90','120','150','160','180','190'}
@attribute MSZoning string
@attribute Neighborhood string
@attribute OpenPorchSF numeric
@attribute OverallCond {'1','2','3','4','5','6','7','8','9'}
@attribute OverallQual numeric
@attribute PavedDrive {'N','P','Y'}
@attribute PoolArea numeric
@attribute PoolQC {'None','Fa','TA','Gd','Ex'}
@attribute RoofMatl string
@attribute RoofStyle string
@attribute SaleCondition string
@attribute SaleType string
@attribute ScreenPorch numeric
@attribute Street {'Pave','Grvl'}
@attribute TotalBsmtSF numeric
@attribute TotRmsAbvGrd numeric
@attribute Utilities string
@attribute WoodDeckSF numeric
@attribute X1stFlrSF numeric
@attribute X2ndFlrSF numeric
@attribute X3SsnPorch numeric
@attribute YearBuilt numeric
@attribute YearRemodAdd numeric
@attribute YrSold {'2006','2007','2008','2009','2010'}
@attribute SalePrice numeric
@data
11,'None',3,'1Fam','TA','No',906,0,'Rec','Unf',1,0,'TA',134,'Y','Norm','Norm','SBrkr',0,'TA','HdBoard','HdBoard','TA','None','None',0,'CBlock',1,'Typ',384,1,'TA','Unf','TA','Detchd',1965,1040,0,'GasA','Ex','1Story',1,'TA','Gtl',11200,'Inside',70,'Reg',0,0,'None','None',0,'2','20','RL','Sawyer',0,'5',5,'Y',0,'None','CompShg','Hip','Normal','WD',0,'Pave',1040,5,'AllPub',0,1040,0,0,1965,1965,'2008',129500
12,'None',4,'1Fam','TA','No',998,0,'GLQ','Unf',1,0,'Ex',177,'Y','Norm','Norm','SBrkr',0,'TA','WdShing','Wd Shng','Ex','None','Gd',2,'PConc',3,'Typ',736,3,'TA','Fin','TA','BuiltIn',2005,2324,0,'GasA','Ex','2Story',1,'Ex','Gtl',11924,'Inside',85,'IR1',0,286,'Stone','None',0,'7','60','RL','NridgHt',21,'5',9,'Y',0,'None','CompShg','Hip','Partial','New',0,'Pave',1175,11,'AllPub',147,1182,1142,0,2005,2006,'2006',345000
13,'None',2,'1Fam','TA','No',737,0,'ALQ','Unf',1,0,'TA',175,'Y','Norm','Norm','SBrkr',0,'TA','HdBoard','Plywood','TA','None','None',0,'CBlock',1,'Typ',352,1,'TA','Unf','TA','Detchd',1962,912,0,'GasA','TA','1Story',1,'TA','Gtl',12968,'Inside',72,'IR2',0,0,'None','None',0,'9','20','RL','Sawyer',0,'6',5,'Y',0,'None','CompShg','Hip','Normal','WD',176,'Pave',912,4,'AllPub',140,912,0,0,1962,1962,'2008',144000
14,'None',3,'1Fam','TA','Av',0,0,'Unf','Unf',0,0,'Gd',1494,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','Gd',1,'PConc',2,'Typ',840,3,'TA','RFn','TA','Attchd',2006,1494,0,'GasA','Ex','1Story',1,'Gd','Gtl',10652,'Inside',91,'IR1',0,306,'Stone','None',0,'8','20','RL','CollgCr',33,'5',7,'Y',0,'None','CompShg','Gable','Partial','New',0,'Pave',1494,7,'AllPub',160,1494,0,0,2006,2007,'2007',279500
15,'None',2,'1Fam','TA','No',733,0,'BLQ','Unf',1,0,'TA',520,'Y','Norm','Norm','SBrkr',176,'TA','MetalSd','MetalSd','TA','GdWo','Fa',1,'CBlock',1,'Typ',352,1,'TA','RFn','TA','Attchd',1960,1253,1,'GasA','TA','1Story',1,'TA','Gtl',10920,'Corner',73,'IR1',0,212,'BrkFace','None',0,'5','20','RL','NAmes',213,'5',6,'Y',0,'None','CompShg','Hip','Normal','WD',0,'Pave',1253,5,'AllPub',0,1253,0,0,1960,1960,'2008',157000
16,'None',2,'1Fam','TA','No',0,0,'Unf','Unf',0,0,'TA',832,'Y','Norm','Norm','FuseA',0,'TA','Wd Sdng','Wd Sdng','TA','GdPrv','None',0,'BrkTil',1,'Typ',576,2,'TA','Unf','TA','Detchd',1991,854,0,'GasA','Ex','1.5Unf',1,'TA','Gtl',6120,'Corner',51,'Reg',0,0,'None','None',0,'7','45','RM','BrkSide',112,'8',7,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',832,5,'AllPub',48,854,0,0,1929,2001,'2007',132000
17,'None',2,'1Fam','TA','No',578,0,'ALQ','Unf',1,0,'TA',426,'Y','Norm','Norm','SBrkr',0,'TA','Wd Sdng','Wd Sdng','TA','None','TA',1,'CBlock',1,'Typ',480,2,'TA','Fin','TA','Attchd',1970,1004,0,'GasA','Ex','1Story',1,'TA','Gtl',11241,'CulDSac',73,'IR1',0,180,'BrkFace','Shed',700,'3','20','RL','NAmes',0,'7',6,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1004,5,'AllPub',0,1004,0,0,1970,1970,'2010',149000
18,'None',2,'Duplex','None','None',0,0,'None','None',0,0,'None',0,'Y','Norm','Norm','SBrkr',0,'TA','MetalSd','MetalSd','TA','None','None',0,'Slab',2,'Typ',516,2,'TA','Unf','TA','CarPort',1967,1296,0,'GasA','TA','1Story',2,'TA','Gtl',10791,'Inside',72,'Reg',0,0,'None','Shed',500,'10','90','RL','Sawyer',0,'5',4,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',0,6,'AllPub',0,1296,0,0,1967,1967,'2006',90000
19,'None',3,'1Fam','TA','No',646,0,'GLQ','Unf',1,0,'TA',468,'Y','RRAe','Norm','SBrkr',0,'TA','VinylSd','VinylSd','TA','None','None',0,'PConc',1,'Typ',576,2,'TA','Unf','TA','Detchd',2004,1114,1,'GasA','Ex','1Story',1,'Gd','Gtl',13695,'Inside',66,'Reg',0,0,'None','None',0,'6','20','RL','SawyerW',102,'5',5,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1114,6,'AllPub',0,1114,0,0,2004,2004,'2008',159000
20,'None',3,'1Fam','TA','No',504,0,'LwQ','Unf',0,0,'TA',525,'Y','Norm','Norm','SBrkr',0,'TA','BrkFace','Plywood','TA','MnPrv','None',0,'CBlock',1,'Min1',294,1,'TA','Unf','TA','Attchd',1958,1339,0,'GasA','TA','1Story',1,'TA','Gtl',7560,'Inside',70,'Reg',0,0,'None','None',0,'5','20','RL','NAmes',0,'6',5,'Y',0,'None','CompShg','Hip','Abnorml','COD',0,'Pave',1029,6,'AllPub',0,1339,0,0,1958,1965,'2009',139000
21,'None',4,'1Fam','TA','Av',0,0,'Unf','Unf',0,0,'Ex',1158,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','Gd',1,'PConc',3,'Typ',853,3,'TA','RFn','TA','BuiltIn',2005,2376,1,'GasA','Ex','2Story',1,'Gd','Gtl',14215,'Corner',101,'IR1',0,380,'BrkFace','None',0,'11','60','RL','NridgHt',154,'5',8,'Y',0,'None','CompShg','Gable','Partial','New',0,'Pave',1158,9,'AllPub',240,1158,1218,0,2005,2006,'2006',325300
22,'Grvl',3,'1Fam','TA','No',0,0,'Unf','Unf',0,0,'TA',637,'Y','Norm','Norm','FuseF',205,'TA','Wd Sdng','Wd Sdng','TA','GdPrv','Gd',1,'PConc',1,'Typ',280,1,'TA','Unf','TA','Attchd',1930,1108,0,'GasA','Ex','1.5Unf',1,'Gd','Gtl',7449,'Inside',57,'Reg',0,0,'None','None',0,'6','45','RM','IDOTRR',0,'7',7,'N',0,'None','CompShg','Gable','Normal','WD',0,'Pave',637,6,'AllPub',0,1108,0,0,1930,1950,'2007',139400
23,'None',3,'1Fam','TA','No',0,0,'Unf','Unf',0,0,'Gd',1777,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','Gd',1,'PConc',2,'Typ',534,2,'TA','RFn','TA','Attchd',2002,1795,0,'GasA','Ex','1Story',1,'Gd','Gtl',9742,'Inside',75,'Reg',0,281,'BrkFace','None',0,'9','20','RL','CollgCr',159,'5',8,'Y',0,'None','CompShg','Hip','Normal','WD',0,'Pave',1777,7,'AllPub',171,1795,0,0,2002,2002,'2008',230000
24,'None',3,'TwnhsE','TA','No',840,0,'GLQ','Unf',1,0,'Gd',200,'Y','Norm','Norm','SBrkr',0,'TA','CemntBd','CmentBd','TA','None','TA',1,'PConc',1,'Typ',572,2,'TA','Unf','TA','Attchd',1976,1060,0,'GasA','TA','1Story',1,'TA','Gtl',4224,'Inside',44,'Reg',0,0,'None','None',0,'6','120','RM','MeadowV',110,'7',5,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1040,6,'AllPub',100,1060,0,0,1976,1976,'2007',129900
25,'None',3,'1Fam','TA','Mn',188,668,'Rec','ALQ',1,0,'TA',204,'Y','Norm','Norm','SBrkr',0,'Gd','Plywood','Plywood','TA','MnPrv','TA',1,'CBlock',1,'Typ',270,1,'TA','Unf','TA','Attchd',1968,1060,0,'GasA','Ex','1Story',1,'Gd','Gtl',8246,'Inside',72,'IR1',0,0,'None','None',0,'5','20','RL','Sawyer',90,'8',5,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1060,6,'AllPub',406,1060,0,0,1968,2001,'2010',154000
26,'None',3,'1Fam','TA','No',0,0,'Unf','Unf',0,0,'Gd',1566,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','Gd',1,'PConc',2,'Typ',890,3,'TA','RFn','TA','Attchd',2007,1600,0,'GasA','Ex','1Story',1,'Gd','Gtl',14230,'Corner',110,'Reg',0,640,'Stone','None',0,'7','20','RL','NridgHt',56,'5',8,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1566,7,'AllPub',0,1600,0,0,2007,2007,'2009',256300
27,'None',3,'1Fam','TA','Mn',234,486,'BLQ','Rec',0,1,'TA',180,'Y','Norm','Norm','SBrkr',0,'TA','Wd Sdng','Wd Sdng','TA','None','None',0,'CBlock',1,'Typ',576,2,'TA','Unf','TA','Detchd',2005,900,0,'GasA','TA','1Story',1,'Gd','Gtl',7200,'Corner',60,'Reg',0,0,'None','None',0,'5','20','RL','NAmes',32,'7',5,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',900,5,'AllPub',222,900,0,0,1951,2000,'2010',134800
28,'None',3,'1Fam','TA','No',1218,0,'GLQ','Unf',1,0,'Ex',486,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','Gd',1,'PConc',2,'Typ',772,3,'TA','RFn','TA','Attchd',2008,1704,0,'GasA','Ex','1Story',1,'Gd','Gtl',11478,'Inside',98,'Reg',0,200,'Stone','None',0,'5','20','RL','NridgHt',50,'5',8,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1704,7,'AllPub',0,1704,0,0,2007,2008,'2010',306000
29,'None',2,'1Fam','TA','Gd',1277,0,'BLQ','Unf',1,0,'TA',207,'Y','Norm','Norm','SBrkr',0,'TA','MetalSd','MetalSd','TA','None','Gd',2,'CBlock',1,'Typ',319,1,'TA','RFn','TA','Attchd',1957,1600,0,'GasA','TA','1Story',1,'TA','Gtl',16321,'CulDSac',47,'IR1',0,0,'None','None',0,'12','20','RL','NAmes',258,'6',5,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1484,6,'AllPub',288,1600,0,0,1957,1997,'2006',207500
30,'None',1,'1Fam','TA','No',0,0,'Unf','Unf',0,0,'TA',520,'N','Feedr','RRNn','SBrkr',87,'TA','MetalSd','MetalSd','TA','None','None',0,'BrkTil',1,'Typ',240,1,'TA','Unf','Fa','Detchd',1920,520,0,'GasA','Fa','1Story',1,'Fa','Gtl',6324,'Inside',60,'IR1',0,0,'None','None',0,'5','30','RM','BrkSide',0,'6',4,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',520,4,'AllPub',49,520,0,0,1927,1950,'2008',68500
31,'Pave',3,'1Fam','TA','No',0,0,'Unf','Unf',0,0,'TA',649,'N','Feedr','Norm','SBrkr',172,'Fa','BrkFace','BrkFace','TA','MnPrv','None',0,'BrkTil',1,'Typ',250,1,'Fa','Unf','TA','Detchd',1920,1317,0,'GasA','TA','2Story',1,'TA','Gtl',8500,'Inside',50,'Reg',0,0,'None','None',0,'7','70','C (all)','IDOTRR',54,'4',4,'N',0,'None','CompShg','Gambrel','Normal','WD',0,'Pave',649,6,'AllPub',0,649,668,0,1920,1950,'2008',40000
32,'None',3,'1Fam','TA','No',0,0,'Unf','Unf',0,0,'TA',1228,'Y','Norm','Norm','SBrkr',0,'TA','HdBoard','HdBoard','TA','MnPrv','None',0,'CBlock',1,'Typ',271,1,'TA','Unf','TA','Attchd',1966,1228,1,'GasA','Gd','1Story',1,'Gd','Gtl',8544,'CulDSac',72,'IR1',0,0,'None','None',0,'6','20','RL','Sawyer',65,'6',5,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1228,6,'AllPub',0,1228,0,0,1966,2006,'2008',149350
33,'None',3,'1Fam','TA','Av',0,0,'Unf','Unf',0,0,'Ex',1234,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','None',0,'PConc',2,'Typ',484,2,'TA','RFn','TA','Attchd',2007,1234,0,'GasA','Ex','1Story',1,'Gd','Gtl',11049,'Corner',85,'Reg',0,0,'None','None',0,'1','20','RL','CollgCr',30,'5',8,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1234,7,'AllPub',0,1234,0,0,2007,2007,'2008',179900
34,'None',4,'1Fam','TA','No',1018,0,'Rec','Unf',0,1,'TA',380,'Y','Norm','Norm','SBrkr',0,'TA','BrkFace','BrkFace','TA','None','Gd',1,'CBlock',1,'Typ',447,2,'TA','RFn','TA','Attchd',1959,1700,1,'GasA','Gd','1Story',1,'Gd','Gtl',10552,'Inside',70,'IR1',0,0,'None','None',0,'4','20','RL','NAmes',38,'5',5,'Y',0,'None','CompShg','Hip','Normal','WD',0,'Pave',1398,6,'AllPub',0,1700,0,0,1959,1959,'2010',165500
35,'None',2,'TwnhsE','TA','No',1153,0,'GLQ','Unf',1,0,'Ex',408,'Y','Norm','Norm','SBrkr',0,'TA','MetalSd','MetalSd','Ex','None','Gd',1,'PConc',2,'Typ',556,2,'TA','Fin','TA','Attchd',2005,1561,0,'GasA','Ex','1Story',1,'Ex','Gtl',7313,'Inside',60,'Reg',0,246,'BrkFace','None',0,'8','120','RL','NridgHt',47,'5',9,'Y',0,'None','CompShg','Hip','Normal','WD',0,'Pave',1561,6,'AllPub',203,1561,0,0,2005,2005,'2007',277500
36,'None',4,'1Fam','TA','Av',0,0,'Unf','Unf',0,0,'Ex',1117,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','Gd',1,'PConc',3,'Typ',691,3,'TA','Fin','TA','BuiltIn',2004,2452,1,'GasA','Ex','2Story',1,'Gd','Gtl',13418,'Inside',108,'Reg',0,132,'Stone','None',0,'9','60','RL','NridgHt',32,'5',8,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1117,9,'AllPub',113,1132,1320,0,2004,2005,'2006',309000
37,'None',3,'1Fam','TA','No',0,0,'Unf','Unf',0,0,'Gd',1097,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','TA','None','None',0,'PConc',1,'Typ',672,2,'TA','Unf','TA','Attchd',1995,1097,1,'GasA','Ex','1Story',1,'TA','Gtl',10859,'Corner',112,'Reg',0,0,'None','None',0,'6','20','RL','CollgCr',64,'5',5,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1097,6,'AllPub',392,1097,0,0,1994,1995,'2009',145000
38,'None',3,'1Fam','TA','No',1213,0,'Rec','Unf',0,1,'TA',84,'Y','Norm','Norm','SBrkr',0,'TA','Wd Sdng','Wd Sdng','TA','None','TA',1,'CBlock',1,'Typ',498,2,'TA','Fin','TA','Attchd',1954,1297,0,'GasA','Gd','1Story',1,'TA','Gtl',8532,'Inside',74,'Reg',0,650,'BrkFace','None',0,'10','20','RL','NAmes',0,'6',5,'Y',0,'None','CompShg','Hip','Normal','WD',0,'Pave',1297,5,'AllPub',0,1297,0,0,1954,1990,'2009',153000
39,'None',3,'1Fam','TA','No',731,0,'GLQ','Unf',1,0,'TA',326,'Y','Norm','Norm','SBrkr',0,'Gd','VinylSd','VinylSd','TA','None','None',0,'CBlock',1,'Typ',246,1,'TA','Unf','TA','Detchd',1953,1057,0,'GasA','TA','1Story',1,'Gd','Gtl',7922,'Inside',68,'Reg',0,0,'None','None',0,'1','20','RL','NAmes',52,'7',5,'Y',0,'None','CompShg','Gable','Abnorml','WD',0,'Pave',1057,5,'AllPub',0,1057,0,0,1953,2007,'2010',109000
40,'None',2,'Duplex','None','None',0,0,'None','None',0,0,'None',0,'N','Norm','Norm','FuseP',0,'TA','AsbShng','Plywood','TA','None','None',0,'PConc',2,'Typ',0,0,'None','None','None','None',0,1152,0,'GasA','TA','1Story',2,'Fa','Gtl',6040,'Inside',65,'Reg',0,0,'None','None',0,'6','90','RL','Edwards',0,'5',4,'N',0,'None','CompShg','Gable','AdjLand','WD',0,'Pave',0,6,'AllPub',0,1152,0,0,1955,1955,'2008',82000
